tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,cur_passengers,cur_fare,ly_fare,ly_passengers,amount_change,percent_change,amount_change_pax,percent_change_pax,Geocoded_City1,Geocoded_City2
Table 4,2004,3,30721,30647,"Boston, MA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",107940,131.88,214.06,70820,-82.18,-0.3839,37120,0.5241,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)"
Table 4,2006,2,34100,30198,"Philadelphia, PA","Pittsburgh, PA",107200,103.64,154.8,65110,-51.17,-0.3305,42090,0.6464,"Philadelphia, PA
(39.951061, -75.16562)","Pittsburgh, PA
(40.442169, -79.994945)"
Table 4,1996,2,30189,33214,"Colorado Springs, CO","San Antonio, TX",23570,104.09,185.89,5320,-81.81,-0.4401,18250,3.4305,"Colorado Springs, CO
(38.835224, -104.819798)","San Antonio, TX
(29.425173, -98.494599)"
Table 4,2015,3,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",506060,206.88,335.32,342660,-128.44,-0.383,163400,0.4769,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,1996,3,30397,32211,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",60570,135.55,201.48,40090,-65.93,-0.3272,20480,0.5109,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Las Vegas, NV
(36.169202, -115.140597)"
Table 4,2002,2,30397,30928,"Atlanta, GA (Metropolitan Area)","Wichita, KS",14220,128.15,245.47,8280,-117.32,-0.4779,5940,0.7174,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Wichita, KS
(39.960481, -75.605214)"
Table 4,1996,2,30189,33570,"Colorado Springs, CO","San Diego, CA",27890,103.12,163.02,8440,-59.9,-0.3674,19450,2.3045,"Colorado Springs, CO
(38.835224, -104.819798)","San Diego, CA
(32.71576, -117.163817)"
Table 4,1998,4,31650,30198,"Minneapolis/St. Paul, MN","Pittsburgh, PA",27680,160.25,230.7,18280,-70.45,-0.3054,9400,0.5142,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","Pittsburgh, PA
(40.442169, -79.994945)"
Table 4,2010,3,32945,31454,"Lexington, KY","Orlando, FL",25130,97.57,212.91,2720,-115.34,-0.5417,22410,8.239,"Lexington, KY
(34.052238, -118.243344)","Orlando, FL
(28.538331, -81.378879)"
Table 4,1997,4,31295,33342,"Detroit, MI","Milwaukee, WI",40910,105.48,226.95,22100,-121.48,-0.5353,18810,0.8511,"Detroit, MI
(42.332916, -83.047853)","Milwaukee, WI
(43.041072, -87.909421)"
Table 4,2001,1,30792,30852,"Buffalo, NY","Washington, DC (Metropolitan Area)",55600,78.92,213.57,20850,-134.65,-0.6305,34750,1.6667,"Buffalo, NY
(39.945422, -78.64671)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,2004,1,31057,30693,"Charlotte, NC","Nashville, TN",19110,132.76,256.95,12500,-124.19,-0.4833,6610,0.5288,"Charlotte, NC
(35.222936, -80.840161)","Nashville, TN
(36.166687, -86.779932)"
Table 4,2009,2,33485,31703,"Madison, WI","New York City, NY (Metropolitan Area)",27760,172.22,265.57,20260,-93.35,-0.3515,7500,0.3702,"Madison, WI
(43.073926, -89.385244)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,1996,4,30397,33851,"Atlanta, GA (Metropolitan Area)","Oklahoma City, OK",22440,129.55,206.62,13080,-77.07,-0.373,9360,0.7156,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Oklahoma City, OK
(35.468494, -97.521264)"
Table 4,1996,3,31703,34685,"New York City, NY (Metropolitan Area)","Savannah, GA",37190,126.08,182.55,26600,-56.47,-0.3093,10590,0.3981,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Savannah, GA
(40.115007, -111.654713)"
Table 4,1996,1,30325,31423,"Denver, CO","Des Moines, IA",18210,132.1,227.74,8130,-95.64,-0.42,10080,1.2399,"Denver, CO
(39.738453, -104.984853)","Des Moines, IA
(41.588822, -93.620309)"
Table 4,1999,3,30977,34492,"Chicago, IL","Raleigh/Durham, NC",115840,101.25,213.91,65260,-112.66,-0.5266,50580,0.7751,"Chicago, IL
(41.775002, -87.696388)","Raleigh/Durham, NC
(42.673348, -72.179683)"
Table 4,1997,4,30397,30647,"Atlanta, GA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",91200,119.86,218.1,48810,-98.25,-0.4505,42390,0.8685,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)"
Table 4,2002,1,30721,31123,"Boston, MA (Metropolitan Area)","St. Louis, MO",36360,186.01,288.7,40220,-102.69,-0.3557,-3860,-0.096,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","St. Louis, MO
(38.630276, -90.200309)"
Table 4,2003,2,30325,30436,"Denver, CO","Tucson, AZ",21910,139.04,201.71,16670,-62.67,-0.3107,5240,0.3143,"Denver, CO
(39.738453, -104.984853)","Tucson, AZ
(35.167852, -103.726151)"
Table 4,1997,2,31454,35096,"Orlando, FL","Syracuse, NY",39480,120.9,177.8,29050,-56.9,-0.32,10430,0.359,"Orlando, FL
(28.538331, -81.378879)","Syracuse, NY
(43.047945, -76.147448)"
Table 4,1996,4,30397,30189,"Atlanta, GA (Metropolitan Area)","Colorado Springs, CO",31870,136.22,213.43,10230,-77.21,-0.3618,21640,2.1153,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Colorado Springs, CO
(38.835224, -104.819798)"
Table 4,1996,1,30397,33198,"Atlanta, GA (Metropolitan Area)","Kansas City, MO",49150,124.36,178.44,40260,-54.08,-0.3031,8890,0.2208,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Kansas City, MO
(39.099792, -94.578559)"
Table 4,2002,3,30397,33342,"Atlanta, GA (Metropolitan Area)","Milwaukee, WI",69470,103.79,203.6,32370,-99.81,-0.4902,37100,1.1461,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Milwaukee, WI
(43.041072, -87.909421)"
Table 4,2004,3,30397,35096,"Atlanta, GA (Metropolitan Area)","Syracuse, NY",19970,164.87,241.16,9740,-76.29,-0.3163,10230,1.0503,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Syracuse, NY
(43.047945, -76.147448)"
Table 4,1999,3,30792,31650,"Buffalo, NY","Minneapolis/St. Paul, MN",19780,138.57,221.44,7710,-82.87,-0.3742,12070,1.5655,"Buffalo, NY
(39.945422, -78.64671)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)"
Table 4,1996,1,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",74700,101.29,149.21,29180,-47.92,-0.3211,45520,1.56,"Colorado Springs, CO
(38.835224, -104.819798)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)"
Table 4,2002,1,34100,30198,"Philadelphia, PA","Pittsburgh, PA",52120,121.43,237.46,60190,-116.03,-0.4886,-8070,-0.1341,"Philadelphia, PA
(39.951061, -75.16562)","Pittsburgh, PA
(40.442169, -79.994945)"
Table 4,2006,4,30194,31123,"Dallas/Fort Worth, TX","St. Louis, MO",136870,95.35,175.7,84340,-80.36,-0.4573,52530,0.6228,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","St. Louis, MO
(38.630276, -90.200309)"
Table 4,1996,1,30189,31703,"Colorado Springs, CO","New York City, NY (Metropolitan Area)",45130,146.11,290.06,6850,-143.94,-0.4963,38280,5.5883,"Colorado Springs, CO
(38.835224, -104.819798)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,2001,3,31453,30198,"Houston, TX","Pittsburgh, PA",28190,246.44,366.6,23310,-120.16,-0.3278,4880,0.2094,"Houston, TX
(29.760803, -95.369506)","Pittsburgh, PA
(40.442169, -79.994945)"
Table 4,1997,4,30397,31453,"Atlanta, GA (Metropolitan Area)","Houston, TX",122790,124.28,223.02,78260,-98.74,-0.4427,44530,0.569,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Houston, TX
(29.760803, -95.369506)"
Table 4,2005,2,30397,34524,"Atlanta, GA (Metropolitan Area)","Richmond, VA",48520,165.84,240.35,29880,-74.51,-0.31,18640,0.6238,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Richmond, VA
(37.540759, -77.433932)"
Table 4,1997,1,30599,31454,"Birmingham, AL","Orlando, FL",18880,83.7,192.85,16240,-109.15,-0.566,2640,0.1626,"Birmingham, AL
(33.522859, -86.807705)","Orlando, FL
(28.538331, -81.378879)"
Table 4,1996,3,30994,31703,"Charleston, SC","New York City, NY (Metropolitan Area)",46630,107.33,177.23,31870,-69.9,-0.3944,14760,0.4631,"Charleston, SC
(32.77647, -79.931027)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,2000,2,30257,32575,"Albany, NY","Los Angeles, CA (Metropolitan Area)",26210,198.62,329.23,12160,-130.61,-0.3967,14050,1.1554,"Albany, NY
(42.651242, -73.755418)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)"
Table 4,2009,2,33105,31650,"Cincinnati, OH","Minneapolis/St. Paul, MN",21800,233.47,392.23,20580,-158.75,-0.4048,1220,0.0593,"Cincinnati, OH
(39.104427, -84.513808)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)"
Table 4,2017,2,30423,33198,"Austin, TX","Kansas City, MO",27120,189.79,261.58,17760,-71.79,-0.2744,9360,0.527,"Austin, TX
/30.264979, -97.746598","Kansas City, MO
/39.099792, -94.578559"
Table 4,2004,3,30257,30397,"Albany, NY","Atlanta, GA (Metropolitan Area)",25760,166.43,244.19,17470,-77.77,-0.3185,8290,0.4745,"Albany, NY
(42.651242, -73.755418)","Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)"
Table 4,2007,2,31973,33195,"Gulfport/Biloxi, MS","Tampa, FL (Metropolitan Area)",19650,111.68,181.6,1980,-69.92,-0.385,17670,8.9242,"Gulfport/Biloxi, MS
(30.369834, -89.091582)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)"
Table 4,2004,4,30721,31871,"Boston, MA (Metropolitan Area)","Greenville/Spartanburg, SC",16890,129.86,200.43,11670,-70.58,-0.3521,5220,0.4473,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Greenville/Spartanburg, SC
(44.513288, -88.013256)"
Table 4,2001,3,33195,34027,"Tampa, FL (Metropolitan Area)","West Palm Beach/Palm Beach, FL",17240,75.57,122.44,7980,-46.88,-0.3828,9260,1.1604,"Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)","West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)"
Table 4,2005,2,31135,30852,"Myrtle Beach, SC","Washington, DC (Metropolitan Area)",23190,106.26,153.9,10520,-47.64,-0.3096,12670,1.2044,"Myrtle Beach, SC
(33.68785, -78.883852)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,1996,2,30397,30189,"Atlanta, GA (Metropolitan Area)","Colorado Springs, CO",32970,136.82,252.07,7980,-115.25,-0.4572,24990,3.1316,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Colorado Springs, CO
(38.835224, -104.819798)"
Table 4,2004,4,32211,34108,"Las Vegas, NV","Peoria, IL",18070,127.28,227.07,1780,-99.79,-0.4395,16290,9.1517,"Las Vegas, NV
(36.169202, -115.140597)","Peoria, IL
(32.283586, -90.10038)"
Table 4,2002,3,33667,30852,"Norfolk, VA (Metropolitan Area)","Washington, DC (Metropolitan Area)",20640,113.85,230.46,12520,-116.61,-0.506,8120,0.6486,"Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,2009,3,33105,32457,"Cincinnati, OH","San Francisco, CA (Metropolitan Area)",31560,249.94,445.98,18950,-196.04,-0.4396,12610,0.6654,"Cincinnati, OH
(39.104427, -84.513808)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)"
Table 4,2015,3,33105,30194,"Cincinnati, OH","Dallas/Fort Worth, TX",40130,228.21,394.52,20370,-166.31,-0.4215,19760,0.9701,"Cincinnati, OH
(39.104427, -84.513808)","Dallas/Fort Worth, TX
(40.11086, -77.035636)"
Table 4,2005,2,33105,31650,"Cincinnati, OH","Minneapolis/St. Paul, MN",22970,179,282.42,18050,-103.43,-0.3662,4920,0.2726,"Cincinnati, OH
(39.104427, -84.513808)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)"
Table 4,1996,1,30721,32211,"Boston, MA (Metropolitan Area)","Las Vegas, NV",86550,145.77,209.68,54040,-63.92,-0.3048,32510,0.6016,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Las Vegas, NV
(36.169202, -115.140597)"
Table 4,2011,1,31481,30852,"Panama City, FL","Washington, DC (Metropolitan Area)",18360,179.43,332.22,5650,-152.79,-0.4599,12710,2.2496,"Panama City, FL
(30.185159, -85.73078)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,1999,2,31066,30852,"Columbus, OH","Washington, DC (Metropolitan Area)",61950,126.06,182.81,53980,-56.75,-0.3104,7970,0.1476,"Columbus, OH
(39.962649, -82.996216)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,2009,3,30135,31454,"Allentown/Bethlehem/Easton, PA","Orlando, FL",21290,99.17,157.27,6520,-58.1,-0.3695,14770,2.2653,"Allentown/Bethlehem/Easton, PA
(40.602753, -75.469759)","Orlando, FL
(28.538331, -81.378879)"
Table 4,2009,3,33105,30194,"Cincinnati, OH","Dallas/Fort Worth, TX",30090,222.12,336.56,19950,-114.44,-0.34,10140,0.5083,"Cincinnati, OH
(39.104427, -84.513808)","Dallas/Fort Worth, TX
(40.11086, -77.035636)"
Table 4,1999,1,33360,31703,"Melbourne, FL","New York City, NY (Metropolitan Area)",40720,112.27,183.29,8950,-71.02,-0.3875,31770,3.5497,"Melbourne, FL
(28.079931, -80.603516)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,1997,1,31295,34570,"Detroit, MI","Reno, NV",17470,131.79,198.18,8600,-66.39,-0.335,8870,1.0314,"Detroit, MI
(42.332916, -83.047853)","Reno, NV
(30.177159, -95.162771)"
Table 4,2010,1,30666,32575,"Bellingham, WA","Los Angeles, CA (Metropolitan Area)",13440,130.27,214.76,3990,-84.49,-0.3934,9450,2.3684,"Bellingham, WA
(41.698264, -88.077915)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)"
Table 4,2005,2,34100,30198,"Philadelphia, PA","Pittsburgh, PA",65110,154.8,263.48,40230,-108.68,-0.4125,24880,0.6184,"Philadelphia, PA
(39.951061, -75.16562)","Pittsburgh, PA
(40.442169, -79.994945)"
Table 4,2007,2,30397,31252,"Atlanta, GA (Metropolitan Area)","Daytona Beach, FL",19200,153.43,244.11,6710,-90.68,-0.3715,12490,1.8614,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Daytona Beach, FL
(29.207056, -81.020739)"
Table 4,1996,3,30158,31295,"Atlantic City, NJ","Detroit, MI",14910,75.18,131.87,1460,-56.68,-0.4298,13450,9.2123,"Atlantic City, NJ
(33.748547, -84.391502)","Detroit, MI
(42.332916, -83.047853)"
Table 4,2003,3,33342,30852,"Milwaukee, WI","Washington, DC (Metropolitan Area)",83690,100.53,177.29,45350,-76.76,-0.433,38340,0.8454,"Milwaukee, WI
(43.041072, -87.909421)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,1996,3,31057,33244,"Charlotte, NC","Memphis, TN",15600,189.51,282.85,9570,-93.34,-0.33,6030,0.6301,"Charlotte, NC
(35.222936, -80.840161)","Memphis, TN
(35.143378, -90.052136)"
Table 4,1999,4,30529,30693,"Hartford, CT","Nashville, TN",15620,151.73,237,9200,-85.28,-0.3598,6420,0.6978,"Hartford, CT
(41.765775, -72.673356)","Nashville, TN
(36.166687, -86.779932)"
Table 4,2000,3,30977,30529,"Chicago, IL","Hartford, CT",114750,162.57,281.16,54510,-118.59,-0.4218,60240,1.1051,"Chicago, IL
(41.775002, -87.696388)","Hartford, CT
(41.765775, -72.673356)"
Table 4,1996,2,30325,30928,"Denver, CO","Wichita, KS",13780,139.63,225.15,8950,-85.52,-0.3798,4830,0.5397,"Denver, CO
(39.738453, -104.984853)","Wichita, KS
(39.960481, -75.605214)"
Table 4,1996,4,30693,31454,"Nashville, TN","Orlando, FL",62350,70.48,112.03,26500,-41.55,-0.3709,35850,1.3528,"Nashville, TN
(36.166687, -86.779932)","Orlando, FL
(28.538331, -81.378879)"
Table 4,2002,2,35249,30852,"Tallahassee, FL","Washington, DC (Metropolitan Area)",16140,141.52,222.51,10110,-80.99,-0.364,6030,0.5964,"Tallahassee, FL
(38.921902, -120.020798)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,1996,1,31423,30466,"Des Moines, IA","Phoenix, AZ",26550,134.74,202.79,10180,-68.05,-0.3356,16370,1.6081,"Des Moines, IA
(41.588822, -93.620309)","Phoenix, AZ
(30.406931, -87.217578)"
Table 4,1999,4,30792,31650,"Buffalo, NY","Minneapolis/St. Paul, MN",14120,145.32,227.99,6080,-82.67,-0.3626,8040,1.3224,"Buffalo, NY
(39.945422, -78.64671)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)"
Table 4,2015,4,31453,34100,"Houston, TX","Philadelphia, PA",94300,236.73,352.12,67060,-115.4,-0.3277,27240,0.4062,"Houston, TX
(29.760803, -95.369506)","Philadelphia, PA
(39.951061, -75.16562)"
Table 4,1997,3,30325,34653,"Denver, CO","Tulsa, OK",28020,138.65,203.43,14270,-64.78,-0.3184,13750,0.9636,"Denver, CO
(39.738453, -104.984853)","Tulsa, OK
(61.096484, -160.967455)"
Table 4,2006,4,31057,30198,"Charlotte, NC","Pittsburgh, PA",28010,169.7,248.24,18060,-78.54,-0.3164,9950,0.5509,"Charlotte, NC
(35.222936, -80.840161)","Pittsburgh, PA
(40.442169, -79.994945)"
Table 4,1997,2,30977,30928,"Chicago, IL","Wichita, KS",22270,145.47,233.68,12250,-88.21,-0.3775,10020,0.818,"Chicago, IL
(41.775002, -87.696388)","Wichita, KS
(39.960481, -75.605214)"
